ParticipantID,Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
0,148,1.879051,0.316833,1.546668,0.8052114,17.90796,226.4721,5.305309,0.3402916,1.543746,0.7818863,17.90796,226.4721,5.305309,0.2933744,1.54959,0.8285365,17.90796,226.4721,5.305309,16.09963,248.4412,0.0,16.7532,245.5288,0.0,0.5,0.5
0,158,1.997287,0.1096282,1.545947,0.8714209,18.4342,250.9998,2.759191,0.1209059,1.54443,0.8402212,18.4342,250.9998,2.759191,0.09835053,1.547463,0.9026205,18.4342,250.9998,2.759191,22.21885,268.9686,9.222545e-07,22.78102,265.4447,0.0,0.5,0.5
0,168,2.111248,-0.03191038,1.541851,0.8686445,25.07512,251.6687,3.890141,-0.02058311,1.53981,0.8374928,25.07512,251.6687,3.890141,-0.04323765,1.543891,0.8997963,25.07512,251.6687,3.890141,27.39976,257.2952,2.884963e-06,27.75658,252.8162,-9.647879e-07,0.5,0.5
0,169,2.116449,-0.04698128,1.540315,0.8654651,26.02144,251.4863,3.974077,-0.03550395,1.538247,0.8343701,26.02144,251.4863,3.974077,-0.05845861,1.542383,0.8965601,26.02144,251.4863,3.974077,28.29533,257.2072,0.0,28.67184,252.6924,0.0,0.5,0.5
0,178,2.229035,-0.1452733,1.535354,0.8425683,27.18978,258.3722,4.922069,-0.1373291,1.53282,0.8104222,27.18978,258.3722,4.922069,-0.1532175,1.537889,0.8747143,27.18978,258.3722,4.922069,33.95239,283.0143,0.0,35.10166,279.0135,-2.087126e-06,0.5,0.5
0,179,2.234043,-0.1631704,1.533292,0.8368942,27.25596,260.6908,5.048363,-0.1564984,1.530694,0.8044652,27.25596,260.6908,5.048363,-0.1698424,1.53589,0.8693231,27.25596,260.6908,5.048363,33.92879,284.504,0.0,35.08432,280.5068,0.0,0.5,0.5
0,187,2.348942,-0.2455613,1.540773,0.8004755,23.23193,278.0156,5.015919,-0.2490404,1.538105,0.7675562,23.23193,278.0156,5.015919,-0.2420823,1.543441,0.8333948,23.23193,278.0156,5.015919,28.66104,303.5525,0.0,29.63879,300.2352,9.822969e-07,0.5,0.5
0,188,2.363094,-0.254757,1.543205,0.7963949,23.38024,279.9604,4.894006,-0.2593729,1.540605,0.7636102,23.38024,279.9604,4.894006,-0.250141,1.545806,0.8291795,23.38024,279.9604,4.894006,30.00184,303.7503,1.971742e-06,30.9684,300.2922,9.957109e-07,0.5,0.5
0,197,2.465165,-0.3267825,1.53913,0.7731326,19.93444,287.2658,3.846947,-0.3358918,1.537035,0.7412651,19.93444,287.2658,3.846947,-0.3176733,1.541224,0.8050001,19.93444,287.2658,3.846947,30.54753,304.6724,9.913678e-07,31.35235,300.2287,9.997538e-07,0.5,0.5
0,198,2.479367,-0.3320798,1.540357,0.7719879,20.46593,287.1971,3.640042,-0.3411746,1.538382,0.7401086,20.46593,287.1971,3.640042,-0.322985,1.542333,0.8038671,20.46593,287.1971,3.640042,32.10206,303.5713,-1.007875e-06,32.8429,299.2935,0.0,0.5,0.5
0,207,2.582895,-0.4169003,1.550877,0.7483312,19.10334,280.4316,2.797625,-0.4223844,1.549345,0.7156131,19.10334,280.4316,2.797625,-0.4114161,1.552408,0.7810494,19.10334,280.4316,2.797625,32.21266,283.0928,-2.018197e-06,32.3867,278.4864,0.0,0.5,0.5
0,208,2.597591,-0.4304439,1.551571,0.7449587,18.83594,278.2888,2.626594,-0.4347402,1.550131,0.7120593,18.83594,278.2888,2.626594,-0.4261475,1.553012,0.7778581,18.83594,278.2888,2.626594,33.36116,283.7724,4.088852e-06,33.5997,278.8761,2.050063e-06,0.5,0.5
0,218,2.710711,-0.5398604,1.538029,0.7445648,20.28898,271.8791,1.697047,-0.540608,1.537107,0.711376,20.28898,271.8791,1.697047,-0.5391127,1.538951,0.7777535,20.28898,271.8791,1.697047,30.79334,278.514,1.987787e-06,31.03442,274.21,0.0,0.5,0.5
0,219,2.714902,-0.552201,1.53771,0.7472801,20.36049,271.7306,2.033074,-0.5527936,1.536605,0.7140938,20.36049,271.7306,2.033074,-0.5516084,1.538815,0.7804664,20.36049,271.7306,2.033074,31.40089,278.6976,0.0,31.65567,274.6381,0.0,0.5,0.5
0,220,2.730349,-0.5592656,1.539291,0.7494431,19.61053,271.7469,2.342312,-0.5598218,1.538013,0.7162623,19.61053,271.7469,2.342312,-0.5587093,1.54057,0.7826238,19.61053,271.7469,2.342312,31.72427,279.4873,2.007489e-06,32.0832,274.6851,0.0,0.5,0.5
0,228,2.833003,-0.638563,1.53963,0.7889652,20.83387,281.4417,3.45115,-0.644442,1.537762,0.7563332,20.83387,281.4417,3.45115,-0.6326839,1.541499,0.8215972,20.83387,281.4417,3.45115,38.59407,308.323,1.092362e-06,39.4202,305.5932,0.0,0.5,0.5
0,229,2.850863,-0.6559022,1.537971,0.798483,20.57155,283.8594,3.638036,-0.6631224,1.535998,0.7661275,20.57155,283.8594,3.638036,-0.648682,1.539944,0.8308385,20.57155,283.8594,3.638036,39.51256,308.0758,-2.213325e-06,40.42971,304.786,-2.243224e-06,0.5,0.5
0,236,2.950558,-0.7220961,1.525369,0.8238189,29.26324,291.8268,5.914628,-0.732825,1.522383,0.7925318,29.26324,291.8268,5.914626,-0.7113673,1.528354,0.8551059,29.26324,291.8268,5.914626,48.90117,309.2908,0.0,49.93743,304.1775,-5.306041e-06,0.5,0.5
0,237,2.968832,-0.7362987,1.52549,0.8247095,29.44515,292.58,6.009192,-0.7474023,1.522462,0.7935575,29.44515,292.58,6.009192,-0.7251952,1.528517,0.8558615,29.44515,292.58,6.009192,48.45456,308.7287,0.0,49.34832,304.2347,0.0,0.5,0.5
0,246,3.074672,-0.788112,1.529292,0.8019255,27.73407,293.7958,4.574102,-0.8003412,1.526948,0.7711382,27.73407,293.7958,4.574102,-0.7758829,1.531636,0.8327128,27.73407,293.7958,4.574102,31.11797,290.7924,-9.972766e-07,31.26786,286.3954,-9.988574e-07,0.5,0.5
0,247,3.079071,-0.7942182,1.531155,0.7978151,27.27671,294.3154,4.48731,-0.8067657,1.528846,0.7671536,27.27671,294.3154,4.48731,-0.7816707,1.533464,0.8284767,27.27671,294.3154,4.48731,30.77935,291.2292,-2.981246e-06,30.92101,286.8477,0.0,0.5,0.5
0,248,3.093226,-0.7970343,1.532099,0.7957805,26.6347,295.019,4.584,-0.8099563,1.529726,0.7652797,26.6347,295.019,4.584,-0.7841123,1.534471,0.8262812,26.6347,295.019,4.584,25.8733,289.7644,1.897778e-06,25.98141,285.0756,-1.89952e-06,0.5,0.5
0,256,3.18105,-0.8184374,1.539038,0.7729923,23.14982,301.3052,2.81369,-0.8351248,1.537539,0.7443185,23.14982,301.3052,2.81369,-0.80175,1.540537,0.801666,23.14982,301.3052,2.81369,28.4663,299.9674,0.0,28.58208,295.4444,-9.722604e-07,0.5,0.5
0,257,3.196664,-0.8190351,1.538213,0.7720711,23.03832,301.6215,3.008139,-0.8358425,1.536609,0.7434732,23.03832,301.6215,3.008139,-0.8022276,1.539817,0.8006691,23.03832,301.6215,3.008139,29.16897,300.8024,0.0,29.29041,296.251,1.957857e-06,0.5,0.5
0,258,3.210979,-0.8201209,1.537048,0.7688464,22.64776,302.442,2.712312,-0.8374056,1.535598,0.7405261,22.64776,302.442,2.712312,-0.8028362,1.538498,0.7971667,22.64776,302.442,2.712312,28.98661,301.177,9.760391e-07,29.09714,296.6336,-1.95417e-06,0.5,0.5
0,266,3.305199,-0.8157995,1.534398,0.7419382,21.62293,305.0911,1.47176,-0.8346277,1.533605,0.7145928,21.62293,305.0911,1.47176,-0.7969713,1.535191,0.7692836,21.62293,305.0911,1.47176,30.32724,301.6648,9.891305e-07,30.2699,297.3466,9.885523e-07,0.5,0.5
0,267,3.319474,-0.8175074,1.535884,0.7427807,21.32329,305.2711,1.478531,-0.8364236,1.535086,0.7154962,21.32329,305.2711,1.478531,-0.7985912,1.536682,0.7700651,21.32329,305.2711,1.478531,30.01217,301.583,0.0,29.92074,297.2806,2.955202e-06,0.5,0.5
0,276,3.432291,-0.8239443,1.540575,0.7155825,20.86456,316.8865,358.7459,-0.8483587,1.541254,0.6930797,20.86456,316.8865,358.7459,-0.7995299,1.539896,0.7380853,20.86456,316.8865,358.7459,34.72697,313.6674,0.0,34.5235,308.9761,1.036267e-06,0.5,0.5
0,277,3.446451,-0.8234364,1.539992,0.7148319,21.50912,318.5554,358.9662,-0.8484718,1.54055,0.6930187,21.50912,318.5554,358.9662,-0.7984009,1.539435,0.7366452,21.50912,318.5554,358.9662,35.75068,315.9229,0.0,35.53112,311.1738,2.09824e-06,0.5,0.5
0,286,3.546845,-0.8019689,1.523523,0.6821658,28.18,331.5232,3.738637,-0.8306111,1.521614,0.665466,28.18,331.5232,3.738637,-0.7733267,1.525432,0.6988656,28.18,331.5232,3.738637,42.69011,0.2009451,1.814917e-08,43.83496,356.4721,-1.479497e-07,0.5,0.5
0,287,3.561585,-0.7974279,1.522286,0.6747651,29.00533,331.958,4.496628,-0.8260554,1.520008,0.6580862,29.00533,331.958,4.496628,-0.7688004,1.524563,0.6914439,29.00533,331.958,4.496628,40.55054,356.0228,-1.404542e-07,41.61105,352.0091,2.854781e-07,0.5,0.5
0,297,3.677495,-0.7449654,1.522809,0.6000408,27.85211,332.3948,2.872626,-0.7739975,1.521337,0.5839823,27.85211,332.3948,2.872626,-0.7159333,1.52428,0.6160992,27.85211,332.3948,2.872626,37.50963,348.2838,0.0,38.24033,343.9622,5.435131e-07,0.5,0.5
0,298,3.682085,-0.7364624,1.523377,0.5914749,27.67851,333.196,2.733435,-0.7657387,1.521975,0.5758596,27.67851,333.196,2.733435,-0.7071862,1.52478,0.6070902,27.67851,333.196,2.733435,37.16813,348.7856,2.678535e-07,37.86922,344.483,0.0,0.5,0.5
0,306,3.788653,-0.6771479,1.524124,0.529564,30.0716,344.7315,1.974979,-0.7090155,1.523133,0.5202703,30.0716,344.7315,1.974979,-0.6452802,1.525114,0.5388576,30.0716,344.7315,1.974979,42.26079,15.92455,5.768027e-07,43.41395,12.50269,0.0,0.5,0.5
0,307,3.804357,-0.6619796,1.525065,0.5145714,29.36544,348.8648,2.399591,-0.6944041,1.523854,0.5074944,29.36544,348.8648,2.399591,-0.629555,1.526277,0.5216485,29.36544,348.8648,2.399591,39.84475,17.48594,5.559991e-07,40.94696,14.1146,-5.65176e-07,0.5,0.5
0,314,3.909906,-0.5720742,1.52819,0.4240344,25.95963,23.47761,8.004358,-0.6030446,1.524032,0.4352794,25.95963,23.47761,8.004358,-0.5411038,1.532348,0.4127895,25.95963,23.47761,8.004358,31.82108,53.00943,0.0,32.22559,52.10925,1.009242e-06,0.5,0.5
0,323,4.022822,-0.5368114,1.535984,0.3633934,25.12203,39.40825,6.123437,-0.5632792,1.532776,0.3831941,25.12203,39.40825,6.123437,-0.5103436,1.539191,0.3435926,25.12203,39.40825,6.123437,33.39895,69.14639,4.09063e-06,34.36103,66.54947,0.0,0.5,0.5
0,334,4.148096,-0.5114548,1.557694,0.3583514,15.79451,54.84258,4.034167,-0.5310504,1.555445,0.3850696,15.79451,54.84258,4.034167,-0.4918591,1.559942,0.3316333,15.79451,54.84258,4.034167,23.63395,76.33118,0.0,24.36407,73.06553,1.874484e-06,0.5,0.5
0,344,4.268769,-0.4902344,1.587386,0.3726834,5.706267,63.10237,5.39642,-0.5054689,1.584278,0.4020289,5.706267,63.10237,5.39642,-0.475,1.590494,0.343338,5.706267,63.10237,5.39642,7.086073,78.17963,2.150863e-07,7.579813,74.19653,4.306498e-07,0.5,0.5
0,345,4.284773,-0.4843957,1.595157,0.3748343,1.563925,64.4823,5.56426,-0.4987141,1.591938,0.4046257,1.563925,64.4823,5.56426,-0.4700772,1.598376,0.3450429,1.563925,64.4823,5.56426,5.676044,78.57096,0.0,6.151214,74.59701,2.146794e-07,0.5,0.5
0,352,4.385995,-0.4663702,1.605219,0.3775683,354.4025,69.49296,3.277759,-0.4778119,1.603329,0.4086877,354.4025,69.49296,3.277759,-0.4549285,1.607109,0.3464489,354.4025,69.49296,3.277759,345.5091,83.63988,0.0,345.5289,80.47807,0.0,0.5,0.5
0,353,4.400326,-0.4642566,1.606132,0.3775423,353.7468,70.54517,3.094135,-0.4751174,1.60435,0.4088755,353.7468,70.54517,3.094135,-0.4533958,1.607914,0.346209,353.7468,70.54517,3.094135,345.6638,83.57788,8.81215e-07,345.6831,80.4138,4.405697e-07,0.5,0.5
0,363,4.512946,-0.45044,1.604321,0.382973,351.1405,78.04538,1.942993,-0.4571454,1.603208,0.41548,351.1405,78.04538,1.942993,-0.4437346,1.605433,0.350466,351.1405,78.04538,1.942993,347.8892,85.27303,-1.309812e-06,347.9364,81.65355,4.365269e-07,0.5,0.5
0,364,4.527435,-0.4487598,1.603502,0.3847086,351.4928,78.85147,2.202261,-0.4549911,1.60224,0.4173044,351.4928,78.85147,2.202261,-0.4425285,1.604764,0.3521129,351.4928,78.85147,2.202261,352.9595,85.74667,2.150651e-07,353.0488,82.17832,6.450718e-07,0.5,0.5
0,373,4.630548,-0.4405137,1.589891,0.4035876,357.2475,82.63869,3.11416,-0.4446766,1.588089,0.4364863,357.2475,82.63869,3.11416,-0.4363509,1.591693,0.3706889,357.2475,82.63869,3.11416,19.83974,92.60132,-9.076464e-07,20.17387,88.99686,0.0,0.5,0.5
0,383,4.74743,-0.4664934,1.572902,0.410169,4.033597,84.68182,5.301625,-0.4697733,1.569841,0.4430746,4.033597,84.68182,5.301625,-0.4632135,1.575963,0.3772635,4.033597,84.68182,5.301625,24.42661,93.89816,-1.875412e-06,24.86511,90.52028,1.882009e-06,0.5,0.5
0,384,4.762444,-0.4691732,1.574844,0.4092388,3.195635,84.42881,5.080834,-0.4725478,1.571907,0.4421461,3.195635,84.42881,5.080834,-0.4657986,1.57778,0.3763314,3.195635,84.42881,5.080834,24.2521,92.687,0.0,24.62605,89.57829,-9.391965e-07,0.5,0.5
0,392,4.865218,-0.5265486,1.575747,0.381779,4.333892,82.63353,4.496782,-0.5309887,1.573151,0.4145882,4.333892,82.63353,4.496782,-0.5221086,1.578343,0.3489697,4.333892,82.63353,4.496782,19.35581,98.87222,1.809842e-06,19.96661,94.90211,9.083744e-07,0.5,0.5
0,393,4.879375,-0.5294976,1.575874,0.3790561,4.57334,82.55254,4.564205,-0.5339974,1.57324,0.4118542,4.57334,82.55254,4.564205,-0.5249977,1.578509,0.346258,4.57334,82.55254,4.564205,19.71238,98.311,0.0,20.29621,94.49428,9.10292e-07,0.5,0.5
0,403,4.992853,-0.5786693,1.589735,0.3318944,1.935526,84.3159,4.58967,-0.5820373,1.587079,0.3648262,1.935526,84.3159,4.58967,-0.5753013,1.592391,0.2989626,1.935526,84.3159,4.58967,14.16218,97.74038,-8.805358e-07,14.65036,93.97578,-1.76493e-06,0.5,0.5
0,404,4.997916,-0.5844286,1.591374,0.325585,1.1386,85.12466,4.491784,-0.5872939,1.588774,0.3585688,1.1386,85.12466,4.491784,-0.5815634,1.593974,0.2926012,1.1386,85.12466,4.491784,13.51223,98.28609,-8.780788e-07,13.9626,94.75507,-8.797677e-07,0.5,0.5
0,414,5.116941,-0.6293683,1.594121,0.2670299,356.3593,108.4258,4.33232,-0.6187503,1.591618,0.298397,356.3593,108.4258,4.33232,-0.6399863,1.596625,0.2356629,356.3593,108.4258,4.33232,1.216358,136.1944,-2.668644e-08,1.278009,135.5417,2.668707e-08,0.5,0.5
0,415,5.130857,-0.6348001,1.593849,0.2626078,355.9628,109.9184,4.756724,-0.6233428,1.591102,0.2936575,355.9628,109.9184,4.756724,-0.6462575,1.596596,0.2315581,355.9628,109.9184,4.756724,0.9029477,136.829,2.668374e-08,0.9674847,136.1767,-5.336846e-08,0.5,0.5
0,423,5.224203,-0.6679671,1.592658,0.2512465,353.4078,107.3931,4.573553,-0.6577813,1.590028,0.2827462,353.4078,107.3931,4.573553,-0.678153,1.595289,0.2197467,353.4078,107.3931,4.573553,354.3649,125.588,2.144799e-07,354.5374,122.2581,0.0,0.5,0.5
0,424,5.240231,-0.6695608,1.593528,0.2516778,353.2422,106.5984,4.834595,-0.6597921,1.590749,0.2832966,353.2422,106.5984,4.834595,-0.6793295,1.596308,0.220059,353.2422,106.5984,4.834595,351.5243,122.5985,0.0,351.6738,119.4718,0.0,0.5,0.5
0,431,5.346581,-0.6914073,1.596418,0.2627674,351.3368,89.19904,6.588435,-0.6912946,1.592651,0.2957629,351.3368,89.19904,6.588435,-0.69152,1.600185,0.229772,351.3368,89.19904,6.588435,351.0296,78.49709,-4.321727e-07,351.6088,74.72139,0.0,0.5,0.5
0,432,5.361064,-0.693629,1.59584,0.2627613,351.5789,88.02035,6.744701,-0.6941974,1.591981,0.2957415,351.5789,88.02035,6.744701,-0.6930605,1.599698,0.2297811,351.5789,88.02035,6.744701,351.1217,76.96106,-4.320636e-07,351.7126,73.18822,-4.313916e-07,0.5,0.5
