"No.","Time","Source","Destination","Protocol","Length","Info"
"4758","5.805679","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=23, FN=0, Flags=.......TC"
"4762","5.807034","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=24, FN=0, Flags=.......TC"
"4770","5.908299","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=25, FN=0, Flags=.......TC"
"4774","5.909087","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=26, FN=0, Flags=.......TC"
"4776","5.910310","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=25, FN=0, Flags=....R..TC"
"4778","5.911368","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=24, FN=0, Flags=....R..TC"
"4782","5.916225","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=25, FN=0, Flags=.......TC"
"4786","5.917985","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=27, FN=0, Flags=.......TC"
"4790","5.919071","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=26, FN=0, Flags=.......TC"
"4796","5.920504","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=27, FN=0, Flags=.......TC"
"4804","6.028302","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=28, FN=0, Flags=.......TC"
"4806","6.029679","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=26, FN=0, Flags=....R..TC"
"4810","6.029982","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=27, FN=0, Flags=.......TC"
"4812","6.031076","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=28, FN=0, Flags=....R..TC"
"4816","6.034538","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=29, FN=0, Flags=.......TC"
"4820","6.037126","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=30, FN=0, Flags=.......TC"
"4824","6.039175","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=29, FN=0, Flags=.......TC"
"4830","6.040504","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=28, FN=0, Flags=.......TC"
"4832","6.041580","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=31, FN=0, Flags=.......TC"
"4836","6.044619","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=30, FN=0, Flags=.......TC"
"4845","6.148299","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=29, FN=0, Flags=.......TC"
"4847","6.149358","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=31, FN=0, Flags=.......TC"
"4849","6.150416","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=32, FN=0, Flags=.......TC"
"4853","6.151943","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=32, FN=0, Flags=.......TC"
"4861","6.154398","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=33, FN=0, Flags=.......TC"
"4863","6.155456","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=33, FN=0, Flags=.......TC"
"4865","6.156533","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=30, FN=0, Flags=.......TC"
"4869","6.159472","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=34, FN=0, Flags=.......TC"
"4873","6.161890","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=31, FN=0, Flags=.......TC"
"4877","6.163210","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=34, FN=0, Flags=.......TC"
"4885","6.268454","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=35, FN=0, Flags=....R..TC"
"4887","6.269548","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=32, FN=0, Flags=....R..TC"
"4889","6.270616","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=35, FN=0, Flags=....R..TC"
"4893","6.273061","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=33, FN=0, Flags=.......TC"
"4897","6.276783","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=36, FN=0, Flags=.......TC"
"4901","6.277842","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=36, FN=0, Flags=.......TC"
"4905","6.279161","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=34, FN=0, Flags=.......TC"
"4909","6.283028","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=37, FN=0, Flags=.......TC"
"4913","6.284258","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=37, FN=0, Flags=.......TC"
"4917","6.287845","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=35, FN=0, Flags=.......TC"
"4925","6.388409","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=38, FN=0, Flags=.......TC"
"4927","6.389486","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=38, FN=0, Flags=....R..TC"
"4929","6.390581","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=36, FN=0, Flags=....R..TC"
"4933","6.393466","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=39, FN=0, Flags=.......TC"
"4937","6.394678","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=39, FN=0, Flags=.......TC"
"4943","6.396537","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=40, FN=0, Flags=.......TC"
"4945","6.397614","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=37, FN=0, Flags=.......TC"
"4949","6.399618","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=41, FN=0, Flags=.......TC"
"4953","6.402314","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=40, FN=0, Flags=.......TC"
"4957","6.405326","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=38, FN=0, Flags=.......TC"
"4965","6.508318","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=41, FN=0, Flags=.......TC"
"4967","6.509550","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=42, FN=0, Flags=....R..TC"
"4969","6.510617","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=39, FN=0, Flags=....R..TC"
"4973","6.511883","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=40, FN=0, Flags=.......TC"
"4977","6.516379","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=43, FN=0, Flags=.......TC"
"4981","6.517456","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=42, FN=0, Flags=.......TC"
"4987","6.518731","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=41, FN=0, Flags=.......TC"
"4991","6.527052","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=43, FN=0, Flags=.......TC"
"4995","6.528165","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=42, FN=0, Flags=.......TC"
"5003","6.628304","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=44, FN=0, Flags=.......TC"
"5005","6.629363","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=43, FN=0, Flags=.......TC"
"5007","6.630431","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=44, FN=0, Flags=.......TC"
"5011","6.633217","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=45, FN=0, Flags=.......TC"
"5015","6.635941","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=45, FN=0, Flags=.......TC"
"5019","6.637017","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=44, FN=0, Flags=.......TC"
"5023","6.638094","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=46, FN=0, Flags=.......TC"
"5029","6.641246","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=47, FN=0, Flags=.......TC"
"5033","6.642970","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=46, FN=0, Flags=.......TC"
"5041","6.748312","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=47, FN=0, Flags=.......TC"
"5043","6.749516","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=45, FN=0, Flags=....R..TC"
"5047","6.750584","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=48, FN=0, Flags=.......TC"
"5049","6.751696","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=48, FN=0, Flags=....R..TC"
"5053","6.753484","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=49, FN=0, Flags=.......TC"
"5057","6.755712","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=46, FN=0, Flags=.......TC"
"5061","6.757428","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=50, FN=0, Flags=.......TC"
"5065","6.758991","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=49, FN=0, Flags=.......TC"
"5069","6.760373","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=47, FN=0, Flags=.......TC"
"5073","6.761432","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=50, FN=0, Flags=.......TC"
"5077","6.765091","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=51, FN=0, Flags=.......TC"
"5085","6.868300","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=52, FN=0, Flags=.......TC"
"5087","6.869368","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=48, FN=0, Flags=.......TC"
"5089","6.870426","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=51, FN=0, Flags=.......TC"
"5093","6.875103","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=53, FN=0, Flags=.......TC"
"5097","6.877610","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=52, FN=0, Flags=.......TC"
"5101","6.879200","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=49, FN=0, Flags=.......TC"
"5105","6.881897","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=50, FN=0, Flags=.......TC"
"5109","6.883630","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=54, FN=0, Flags=.......TC"
"5113","6.887470","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=53, FN=0, Flags=.......TC"
"5121","6.988311","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=55, FN=0, Flags=.......TC"
"5123","6.989534","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=54, FN=0, Flags=....R..TC"
"5125","6.990592","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=51, FN=0, Flags=....R..TC"
"5129","6.994918","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=56, FN=0, Flags=.......TC"
"5133","6.997947","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=57, FN=0, Flags=.......TC"
"5141","7.000726","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=52, FN=0, Flags=.......TC"
"5149","7.108300","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=53, FN=0, Flags=.......TC"
"5151","7.109513","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=55, FN=0, Flags=....R..TC"
"5155","7.110598","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=54, FN=0, Flags=.......TC"
"5157","7.111702","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=58, FN=0, Flags=....R..TC"
"5161","7.118413","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=56, FN=0, Flags=.......TC"
